"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"8563","GO:0051968",0.671539455000265,0.511328544694155,5,36,"positive regulation of synaptic transmission, glutamatergic","BP"
"7557","GO:0046879",0.671548094045366,0.389020869179448,44,319,"hormone secretion","BP"
"1443","GO:0006376",0.671656168517458,0.513889875364036,5,31,"mRNA splice site recognition","BP"
"9269","GO:0061026",0.671776989030801,0.73010092952285,1,6,"cardiac muscle tissue regeneration","BP"
"14465","GO:2000048",0.671974640487833,0.624105362497318,2,11,"negative regulation of cell-cell adhesion mediated by cadherin","BP"
"2874","GO:0010880",0.672010488982431,0.531852250127128,4,30,"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","BP"
"3855","GO:0021681",0.672042733150699,0.616712425238331,2,14,"cerebellar granular layer development","BP"
"3807","GO:0021587",0.672148838724472,0.475901726315473,8,44,"cerebellum morphogenesis","BP"
"5492","GO:0035054",0.672249259520794,0.770653697827879,1,3,"embryonic heart tube anterior/posterior pattern specification","BP"
"11922","GO:0141085",0.672322900998295,0.462573330835022,10,47,"regulation of inflammasome-mediated signaling pathway","BP"
"1412","GO:0006307",0.672376769413995,0.623658436380585,2,11,"DNA alkylation repair","BP"
"8680","GO:0060046",0.672387293453619,0.706329615633269,1,16,"regulation of acrosome reaction","BP"
"8053","GO:0050854",0.672603027866816,0.432392549027776,17,70,"regulation of antigen receptor-mediated signaling pathway","BP"
"9667","GO:0070164",0.672643742732222,0.702135324147417,2,4,"negative regulation of adiponectin secretion","BP"
"14385","GO:1990764",0.672687502653163,0.749063006804023,1,4,"myofibroblast contraction","BP"
"2944","GO:0010977",0.672788664436623,0.414858833797813,22,129,"negative regulation of neuron projection development","BP"
"1932","GO:0007160",0.672856964691963,0.39121854920556,41,236,"cell-matrix adhesion","BP"
"8827","GO:0060296",0.672884244514801,0.716381641481426,1,9,"regulation of cilium beat frequency involved in ciliary motility","BP"
"1490","GO:0006438",0.673116841075647,0.816630605303575,1,2,"valyl-tRNA aminoacylation","BP"
"2336","GO:0009170",0.673165384980225,0.585582119006613,3,11,"purine deoxyribonucleoside monophosphate metabolic process","BP"
"2651","GO:0010466",0.673165789710722,0.492442765099017,6,46,"negative regulation of peptidase activity","BP"
"934","GO:0002863",0.673232721750648,0.617404067773393,2,13,"positive regulation of inflammatory response to antigenic stimulus","BP"
"11583","GO:0101023",0.673339443577148,0.532306930282582,4,27,"vascular endothelial cell proliferation","BP"
"6426","GO:0042996",0.67337089934549,0.622551932753769,2,11,"regulation of Golgi to plasma membrane protein transport","BP"
"12885","GO:1902882",0.673483469037123,0.486807332368445,7,35,"regulation of response to oxidative stress","BP"
"10872","GO:0090130",0.673518722448826,0.426106956759844,17,102,"tissue migration","BP"
"8091","GO:0050904",0.673567730303159,0.643954484929596,2,7,"diapedesis","BP"
"2528","GO:0009798",0.673583961788262,0.438287823507211,13,97,"axis specification","BP"
"4683","GO:0032409",0.673631426318785,0.409941970420978,23,174,"regulation of transporter activity","BP"
"42","GO:0000226",0.674004712312023,0.364426858052795,114,668,"microtubule cytoskeleton organization","BP"
"7766","GO:0048536",0.67402482930248,0.483504136875724,7,40,"spleen development","BP"
"6607","GO:0043467",0.674059543177287,0.416340799736338,20,138,"regulation of generation of precursor metabolites and energy","BP"
"9585","GO:0062014",0.674090570028824,0.429852047092493,15,112,"negative regulation of small molecule metabolic process","BP"
"11728","GO:0120178",0.674299364161863,0.504989245157077,5,45,"steroid hormone biosynthetic process","BP"
"3959","GO:0021884",0.674351174829658,0.526320494491424,4,36,"forebrain neuron development","BP"
"266","GO:0001755",0.674375545230193,0.456653847830094,10,58,"neural crest cell migration","BP"
"4628","GO:0032306",0.674430695869107,0.5712282125551,3,15,"regulation of prostaglandin secretion","BP"
"10910","GO:0090183",0.674530057966175,0.507937190029073,5,36,"regulation of kidney development","BP"
"11462","GO:0099010",0.674634711566284,0.52640014478754,4,35,"modification of postsynaptic structure","BP"
"4735","GO:0032495",0.674665840037403,0.536688095857881,4,21,"response to muramyl dipeptide","BP"
"7461","GO:0046605",0.674693840158158,0.448397572678466,12,55,"regulation of centrosome cycle","BP"
"563","GO:0002281",0.674765400569729,0.524043507794996,5,19,"macrophage activation involved in immune response","BP"
"2717","GO:0010616",0.674947426475911,0.726851653671892,1,6,"negative regulation of cardiac muscle adaptation","BP"
"13040","GO:1903243",0.674947426475911,0.726851653671892,1,6,"negative regulation of cardiac muscle hypertrophy in response to stress","BP"
"10281","GO:0071694",0.674953418152075,0.717301849170666,1,8,"maintenance of protein location in extracellular region","BP"
"2132","GO:0007631",0.675044131278458,0.462878048809775,8,108,"feeding behavior","BP"
"4776","GO:0032611",0.675177584068971,0.42521509124508,17,94,"interleukin-1 beta production","BP"
"4805","GO:0032651",0.675177584068971,0.42521509124508,17,94,"regulation of interleukin-1 beta production","BP"
"4750","GO:0032528",0.675256845156889,0.533661679678528,4,23,"microvillus organization","BP"
"7254","GO:0046073",0.675271344460145,0.642113539845981,2,7,"dTMP metabolic process","BP"
"5092","GO:0033227",0.675295738715603,0.7678961193177,1,3,"dsRNA transport","BP"
"9003","GO:0060536",0.675535233218804,0.71109554455331,1,10,"cartilage morphogenesis","BP"
"5966","GO:0036493",0.675575427790045,0.669913233845567,2,5,"positive regulation of translation in response to endoplasmic reticulum stress","BP"
"5195","GO:0033631",0.675610842794252,0.564443417005859,3,18,"cell-cell adhesion mediated by integrin","BP"
"13183","GO:1903538",0.675618186609775,0.814748775041979,1,2,"regulation of meiotic cell cycle process involved in oocyte maturation","BP"
"1873","GO:0007028",0.675641904443491,0.609411029885091,2,16,"cytoplasm organization","BP"
"250","GO:0001706",0.675937379221995,0.467031447825115,8,60,"endoderm formation","BP"
"14748","GO:2000522",0.675956324108939,0.814493089991856,1,2,"positive regulation of immunological synapse formation","BP"
"5557","GO:0035335",0.676110022114639,0.5148533419775,5,24,"peptidyl-tyrosine dephosphorylation","BP"
"7988","GO:0050708",0.676145923992543,0.386994925723585,41,263,"regulation of protein secretion","BP"
"1803","GO:0006901",0.676203329261248,0.482028717139094,7,38,"vesicle coating","BP"
"6157","GO:0042176",0.676256951610045,0.372043418414377,74,370,"regulation of protein catabolic process","BP"
"8907","GO:0060399",0.676382753183366,0.766905494185981,1,3,"positive regulation of growth hormone receptor signaling pathway","BP"
"8102","GO:0050915",0.676540478383091,0.7124948803666,1,9,"sensory perception of sour taste","BP"
"6505","GO:0043249",0.676582313553302,0.533268837300307,4,22,"erythrocyte maturation","BP"
"7806","GO:0048627",0.676635800443229,0.745224790986994,1,4,"myoblast development","BP"
"12805","GO:1902624",0.676799058627869,0.505355329724812,5,36,"positive regulation of neutrophil migration","BP"
"7062","GO:0045727",0.676908577556921,0.411487131873822,21,137,"positive regulation of translation","BP"
"13055","GO:1903292",0.677025958955898,0.715107494667176,1,8,"protein localization to Golgi membrane","BP"
"12071","GO:0180010",0.677035977777436,0.626527840169811,2,9,"co-transcriptional mRNA 3'-end processing, cleavage and polyadenylation pathway","BP"
"1445","GO:0006383",0.67717586300736,0.439001201248285,13,66,"transcription by RNA polymerase III","BP"
"1494","GO:0006449",0.677253937859545,0.626285838285814,2,9,"regulation of translational termination","BP"
"8614","GO:0055070",0.677480117924073,0.602060420254626,2,21,"copper ion homeostasis","BP"
"6528","GO:0043306",0.677495749060026,0.610557162163642,2,14,"positive regulation of mast cell degranulation","BP"
"12591","GO:1902041",0.67751941101827,0.468731624358379,8,47,"regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP"
"13836","GO:1904896",0.677522665519406,0.708958760441281,1,10,"ESCRT complex disassembly","BP"
"13840","GO:1904903",0.677522665519406,0.708958760441281,1,10,"ESCRT III complex disassembly","BP"
"10994","GO:0090313",0.677644503645187,0.506476146545865,5,32,"regulation of protein targeting to membrane","BP"
"4591","GO:0032231",0.677808138044223,0.429605213534528,14,103,"regulation of actin filament bundle assembly","BP"
"948","GO:0002885",0.678084234075534,0.72360625864959,1,6,"positive regulation of hypersensitivity","BP"
"7816","GO:0048640",0.678094816831871,0.437384192032541,12,95,"negative regulation of developmental growth","BP"
"11054","GO:0090497",0.678108372542939,0.451989523553583,10,60,"mesenchymal cell migration","BP"
"9763","GO:0070365",0.678444983556464,0.701653956789205,1,14,"hepatocyte differentiation","BP"
"13947","GO:1905165",0.678498380019138,0.705882594612514,1,11,"regulation of lysosomal protein catabolic process","BP"
"12626","GO:1902140",0.678674189875534,0.743224511714387,1,4,"response to inositol","BP"
"937","GO:0002866",0.678744449986862,0.713277838794919,1,8,"positive regulation of acute inflammatory response to antigenic stimulus","BP"
"11492","GO:0099150",0.678749517109622,0.532037761350682,4,21,"regulation of postsynaptic specialization assembly","BP"
"986","GO:0003002",0.678951199721342,0.371274321544045,64,422,"regionalization","BP"
"7151","GO:0045901",0.678955533299215,0.7306425911818,1,5,"positive regulation of translational elongation","BP"
"11319","GO:0098508",0.678965789995539,0.764537251690534,1,3,"endothelial to hematopoietic transition","BP"
"8481","GO:0051791",0.678985793833344,0.700020486518531,1,15,"medium-chain fatty acid metabolic process","BP"
"6733","GO:0044272",0.679068327471835,0.401508066050796,25,166,"sulfur compound biosynthetic process","BP"
"15086","GO:2001257",0.679243911637453,0.459934150804188,8,84,"regulation of cation channel activity","BP"
"5196","GO:0033632",0.679354605106461,0.615842534244433,2,11,"regulation of cell-cell adhesion mediated by integrin","BP"
"1608","GO:0006598",0.679410490199382,0.742498815812463,1,4,"polyamine catabolic process","BP"
"7695","GO:0048295",0.679426212236543,0.742483301845202,1,4,"positive regulation of isotype switching to IgE isotypes","BP"
"5461","GO:0034762",0.679510526519816,0.3695385401984,67,443,"regulation of transmembrane transport","BP"
"8673","GO:0060039",0.679599201486958,0.601377931191842,2,19,"pericardium development","BP"
"4829","GO:0032687",0.679759183269335,0.721860748263227,1,6,"negative regulation of interferon-alpha production","BP"
"1672","GO:0006682",0.679761742670045,0.721858074301709,1,6,"galactosylceramide biosynthetic process","BP"
"3624","GO:0019375",0.679761742670045,0.721858074301709,1,6,"galactolipid biosynthetic process","BP"
"4484","GO:0031664",0.679840043565439,0.482553499581686,7,31,"regulation of lipopolysaccharide-mediated signaling pathway","BP"
"1055","GO:0003158",0.67990315454096,0.403661718972147,24,136,"endothelium development","BP"
"10926","GO:0090205",0.679946889019263,0.556855582351059,3,20,"positive regulation of cholesterol metabolic process","BP"
"14884","GO:2000736",0.679966475836869,0.433125850861157,13,81,"regulation of stem cell differentiation","BP"
"3311","GO:0016076",0.679983644441142,0.729591909680639,1,5,"snRNA catabolic process","BP"
"1602","GO:0006591",0.680043275215621,0.715997274422664,1,7,"ornithine metabolic process","BP"
"12014","GO:0150172",0.68012086438622,0.706146679763696,1,10,"regulation of phosphatidylcholine metabolic process","BP"
"7022","GO:0045648",0.680127370925333,0.504923095794766,5,30,"positive regulation of erythrocyte differentiation","BP"
"5106","GO:0033278",0.680217112881081,0.711702538789629,1,8,"cell proliferation in midbrain","BP"
"7690","GO:0048289",0.680411920336627,0.71560607165496,1,7,"isotype switching to IgE isotypes","BP"
"7693","GO:0048293",0.680411920336627,0.71560607165496,1,7,"regulation of isotype switching to IgE isotypes","BP"
"14549","GO:2000209",0.680573336735503,0.507667395184273,5,26,"regulation of anoikis","BP"
"1029","GO:0003097",0.680580618768641,0.70815154914986,1,9,"renal water transport","BP"
"28","GO:0000097",0.680638133393133,0.603708196945043,2,16,"sulfur amino acid biosynthetic process","BP"
"13454","GO:1904064",0.680639439102899,0.409095182236595,20,139,"positive regulation of cation transmembrane transport","BP"
"12309","GO:1901142",0.680671513220162,0.562044915700024,3,16,"insulin metabolic process","BP"
"9900","GO:0070841",0.680757900575219,0.484380883305232,7,28,"inclusion body assembly","BP"
"11551","GO:0099566",0.680761503024273,0.705450040005229,1,10,"regulation of postsynaptic cytosolic calcium ion concentration","BP"
"2160","GO:0008156",0.680773018040301,0.552077589065004,3,24,"negative regulation of DNA replication","BP"
"1885","GO:0007043",0.680805623099884,0.399958706717956,25,159,"cell-cell junction assembly","BP"
"9123","GO:0060732",0.680934705871212,0.700122603888765,1,13,"positive regulation of inositol phosphate biosynthetic process","BP"
"5335","GO:0034315",0.681069810539859,0.520923167294009,4,31,"regulation of Arp2/3 complex-mediated actin nucleation","BP"
"10271","GO:0071677",0.681070223858557,0.423747110519607,15,95,"positive regulation of mononuclear cell migration","BP"
"4837","GO:0032696",0.681086881533486,0.714888696873676,1,7,"negative regulation of interleukin-13 production","BP"
"4762","GO:0032596",0.681117829254143,0.728428975226703,1,5,"protein transport into membrane raft","BP"
"4162","GO:0030259",0.681191329594915,0.613765943443128,2,11,"lipid glycosylation","BP"
"2261","GO:0009080",0.681191625264248,0.704981591248224,1,10,"pyruvate family amino acid catabolic process","BP"
"4710","GO:0032465",0.681216951118409,0.416257788313809,18,95,"regulation of cytokinesis","BP"
"240","GO:0001682",0.681239976133869,0.608343826680114,2,13,"tRNA 5'-leader removal","BP"
"378","GO:0001937",0.68136049636678,0.484111207059187,6,43,"negative regulation of endothelial cell proliferation","BP"
"13610","GO:1904428",0.681417424832884,0.720123954668776,1,6,"negative regulation of tubulin deacetylation","BP"
"2059","GO:0007420",0.681488626426748,0.356083374860874,115,744,"brain development","BP"
"570","GO:0002291",0.681492562622678,0.606001408482067,2,14,"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","BP"
"13145","GO:1903445",0.681565501698106,0.810206083608922,1,2,"protein transport from ciliary membrane to plasma membrane","BP"
"3917","GO:0021799",0.681631841456932,0.517578855612647,4,37,"cerebral cortex radially oriented cell migration","BP"
"1970","GO:0007208",0.681725932804017,0.719799873760782,1,6,"phospholipase C-activating serotonin receptor signaling pathway","BP"
"3805","GO:0021578",0.681919098958353,0.727604950687038,1,5,"hindbrain maturation","BP"
